iter	Logloss
0	0.5379369168
1	0.4321330352
2	0.3720179402
3	0.338231633
4	0.3038444391
5	0.2834935539
6	0.2637924616
7	0.2520120237
8	0.2418087506
9	0.2349106182
10	0.2303163499
11	0.2234932311
12	0.2201837468
13	0.216952907
14	0.2124744639
15	0.2082894584
16	0.2050954266
17	0.2027977515
18	0.2004511182
19	0.1986559004
20	0.1940231407
21	0.1913899128
22	0.1901816284
23	0.1885265251
24	0.1863217439
25	0.1848995669
26	0.1825699596
27	0.1814337212
28	0.1804249371
29	0.1789984126
30	0.1780389676
31	0.1766774395
32	0.1754520464
33	0.1747025359
34	0.1734737589
35	0.1721114133
36	0.1701011582
37	0.1691670308
38	0.1684618381
39	0.1676434684
40	0.1661965542
41	0.1654466248
42	0.1645052403
43	0.1637171573
44	0.1631558991
45	0.1621194897
46	0.1615053172
47	0.1608315503
48	0.1603855374
49	0.1597650032
50	0.1591825631
51	0.1586635037
52	0.1580318565
53	0.1574379118
54	0.1569789994
55	0.1566466947
56	0.1559778279
57	0.1554474869
58	0.154979415
59	0.1543734218
60	0.1538167623
61	0.1530685697
62	0.1525024238
63	0.1519577202
64	0.1516175224
65	0.1511701775
66	0.1508573948
67	0.1501295391
68	0.1498159242
69	0.1495843469
70	0.149059819
71	0.1487272222
72	0.1484747133
73	0.1482387013
74	0.1480920069
75	0.147716768
76	0.1474951478
77	0.1470846584
78	0.1467792809
79	0.1464538489
80	0.1460355769
81	0.1456330598
82	0.1454346781
83	0.1451645018
84	0.1449312137
85	0.144591771
86	0.1440969446
87	0.1436446816
88	0.1434709123
89	0.143202729
90	0.1430183444
91	0.1427099837
92	0.1423756254
93	0.1419351151
94	0.1416297604
95	0.1412909875
96	0.1410692827
97	0.1408342577
98	0.1405996284
99	0.1404458244
100	0.1400687317
101	0.1398034052
102	0.13947887
103	0.1392536587
104	0.1391401628
105	0.1388586142
106	0.1385355678
107	0.1383385976
108	0.1381457249
109	0.137960188
110	0.1377681757
111	0.1375896724
112	0.1373508678
113	0.1370611555
114	0.1368856798
115	0.1367304032
116	0.1365879687
117	0.1361897722
118	0.1360184535
119	0.1358405712
120	0.1355916275
121	0.1354269761
122	0.1352585273
123	0.1351698406
124	0.1349209553
125	0.134785514
126	0.1346270545
127	0.1344022146
128	0.1342214807
129	0.1339995916
130	0.1339170116
131	0.1337307331
132	0.1335611906
133	0.1334472985
134	0.1333318503
135	0.1331419
136	0.1330192955
137	0.1329243761
138	0.1328138399
139	0.1327206368
140	0.1324565006
141	0.1323733762
142	0.1322254659
143	0.1321299074
144	0.1319188327
145	0.1316006137
146	0.1314723994
147	0.1313925389
148	0.1312680815
149	0.131155598
150	0.1310877519
151	0.1309155854
152	0.130809065
153	0.1306327366
154	0.1305009518
155	0.1303611051
156	0.1302276767
157	0.1301789081
158	0.1301031596
159	0.1299091843
160	0.1298303314
161	0.1297119704
162	0.1295698571
163	0.1295121235
164	0.129354018
165	0.1293034124
