iter	Passed	Remaining
0	668	667365
1	1233	615743
2	1612	535736
3	2127	529843
4	2687	534835
5	3228	534808
6	3745	531338
7	4237	525440
8	4771	525441
9	5197	514571
10	5617	505073
11	6127	504476
12	6573	499052
13	7025	494782
14	7474	490829
15	7921	487171
16	8385	484851
17	8809	480585
18	9357	483154
19	9825	481431
20	10322	481230
21	10661	473972
22	11219	476598
23	11666	474419
24	12101	471952
25	12585	471458
26	13119	472781
27	13584	471573
28	14127	473018
29	14643	473471
30	15071	471121
31	15578	471264
32	16152	473315
33	16625	472370
34	17038	469771
35	17653	472728
36	18179	473148
37	18713	473744
38	19161	472147
39	19582	469988
40	19971	467132
41	20415	465676
42	20865	464367
43	21292	462638
44	21706	460662
45	22075	457816
46	22551	457257
47	23014	456463
48	23483	455773
49	23883	453792
50	24408	454183
51	24903	454013
52	25534	456253
53	25971	454973
54	26470	454809
55	26919	453783
56	27374	452883
57	27891	452996
58	28696	457679
59	29218	457750
60	29727	457614
61	30210	457063
62	30743	457251
63	31231	456756
64	31638	455106
65	32092	454157
66	32549	453262
67	32977	451988
68	33438	451178
69	33931	450804
70	34594	452654
71	35041	451647
72	35555	451504
73	35969	450105
74	36473	449845
75	37001	449861
76	37494	449446
77	38057	449862
78	38488	448704
79	39069	449294
80	39533	448529
81	40158	449575
82	40686	449512
83	41088	448058
84	41519	446947
85	41983	446193
86	42422	445189
87	42858	444166
88	43246	442666
89	43720	442066
90	44136	440881
91	44539	439589
92	45157	440405
93	45639	439887
94	46090	439069
95	46567	438511
96	47027	437787
97	47436	436608
98	47864	435611
99	48305	434749
100	48696	433444
101	49232	433436
102	49818	433858
103	50313	433472
104	50746	432557
105	51195	431784
106	51747	431874
107	52087	430202
108	52583	429830
109	53091	429555
110	53699	430078
111	54187	429632
112	54751	429777
113	55193	428958
114	55624	428064
115	56048	427131
116	56488	426322
117	56945	425640
118	57356	424628
119	57820	424018
120	58249	423151
121	58749	422806
122	59317	422935
123	59780	422322
124	60334	422341
125	61058	423530
126	61515	422855
127	61933	421918
128	62398	421312
129	62876	420786
130	63325	420075
131	63733	419095
132	64210	418577
133	64622	417637
134	65007	416532
135	65393	415443
136	65814	414583
137	66237	413742
138	66770	413592
139	67189	412734
140	67605	411865
141	68117	411582
142	68577	410984
143	69071	410591
144	69551	410116
145	70179	410504
146	70621	409797
147	71344	410711
148	71791	410031
149	72279	409581
150	72763	409112
151	73199	408375
152	73637	407652
153	74058	406838
154	74541	406369
155	75140	406527
156	75811	407062
157	76278	406498
158	76850	406487
159	77383	406265
160	77886	405882
161	78356	405323
162	78923	405271
163	79442	404963
164	79897	404331
165	80353	403702
166	80830	403183
167	81226	402263
168	81793	402189
169	82270	401676
170	82653	400698
171	83119	400132
172	83518	399248
173	84032	398913
174	84463	398187
175	84902	397497
176	85382	397002
177	85903	396702
178	86322	395924
179	86799	395417
180	87273	394899
181	87702	394178
182	88202	393777
183	88571	392796
184	89003	392096
185	89500	391684
186	89896	390832
187	90308	390055
188	90784	389558
189	91234	388948
190	91889	389206
191	92362	388693
192	92865	388302
193	93325	387734
194	93801	387233
195	94213	386467
196	94726	386117
197	95200	385608
198	95653	385015
199	96112	384451
200	96613	384048
201	97014	383254
202	97491	382760
203	97974	382293
204	98396	381584
205	98856	381030
206	99322	380496
207	99758	379850
208	100305	379626
209	100815	379258
210	101279	378716
211	101798	378382
212	102207	377641
213	102597	376831
214	103129	376544
215	103542	375819
216	103977	375181
217	104454	374694
218	104938	374232
219	105439	373829
220	106090	373956
221	106574	373489
222	107140	373311
223	107582	372695
224	108130	372449
225	108678	372201
226	109174	371771
227	109670	371340
228	110184	370969
229	110646	370424
230	111086	369807
231	111600	369437
232	112112	369057
233	112531	368373
234	112973	367764
235	113381	367047
236	113884	366641
237	114569	366816
238	114965	366060
239	115350	365277
240	115951	365176
241	116456	364769
242	117034	364588
243	117666	364574
244	118087	363901
245	118475	363132
246	118994	362763
247	119457	362226
248	120031	362023
249	120511	361534
250	120873	360695
251	121549	360789
252	122103	360519
253	122643	360206
254	123234	360038
255	123629	359297
256	124036	358595
257	124484	358013
258	124905	357356
259	125376	356839
260	125799	356189
261	126297	355754
262	126743	355172
263	127213	354654
264	127650	354050
265	128174	353685
266	128750	353460
267	129268	353077
268	129675	352390
269	130170	351943
270	130681	351539
271	131444	351808
272	131902	351255
273	132356	350695
274	132853	350250
275	133381	349886
276	133892	349472
277	134376	348991
278	134914	348649
279	135418	348219
280	135926	347797
281	136431	347366
282	136831	346671
283	137175	345837
284	137661	345362
285	138141	344871
286	138594	344313
287	139163	344042
288	139699	343689
289	140162	343155
290	140863	343204
291	141368	342771
292	141760	342063
293	142129	341305
294	142778	341215
295	143230	340656
296	143662	340049
297	144233	339772
298	144725	339305
299	145144	338670
300	145646	338227
301	146101	337678
302	146615	337263
303	147036	336636
304	147457	336009
305	147948	335543
306	148407	335003
307	148841	334409
308	149540	334409
309	149948	333755
310	150459	333333
311	150854	332654
312	151236	331948
313	151637	331285
314	152243	331068
315	152768	330676
316	153174	330025
317	153658	329545
318	154112	328999
319	154747	328837
320	155198	328285
321	155709	327860
322	156125	327235
323	156548	326626
324	157096	326277
325	157540	325712
326	157964	325107
327	158425	324579
328	158884	324047
329	159351	323531
330	159792	322963
331	160449	322831
332	160946	322376
333	161583	322198
334	162126	321833
335	162700	321527
336	163166	321007
337	163700	320619
338	164253	320269
339	164813	319932
340	165376	319597
341	165989	319360
342	166453	318834
343	167061	318583
344	167642	318277
345	168098	317734
346	168596	317272
347	169082	316786
